Tournament,Date,Prize,Teams,Location,Winner,Runner-up,Tier,Year
BTSProSeriesSeason7:SoutheastAsia,"Aug02-15,2021","$50,000",8teams,SoutheastAsia,GXR,Fnatic,2,2021
i-League2021Season1,"Apr03-Jul25,2021","$186,000",8teams,"Shanghai,China",Aster,VG,2,2021
BTSProSeriesSeason6:Americas,"May25-Jun06,2021","$50,000",8teams,Americas,UND,4Z,2,2021
PinnacleCup,"May05-Jun01,2021","$100,000",12teams,Europe&CIS,TSpirit,Win,2,2021
DotaProCircuit2021:S2-ChinaUpperDivision,"Apr13-May23,2021","$205,000",8teams,"Shanghai,China",Aster,PSG.LGD,2,2021
DotaProCircuit2021:S2-SoutheastAsiaUpperDivision,"Apr14-May22,2021","$205,000",8teams,SoutheastAsia,T1,TNC,2,2021
DreamLeagueSeason15DPCWesternEuropeUpperDivision,"Apr13-May22,2021","$205,000",8teams,Europe,[A],Liquid,2,2021
ESLOneDPCEasternEuropeSeason2:UpperDivision,"Apr15-May21,2021","$205,000",8teams,CIS,VP,TSpirit,2,2021
OGADPCSouthAmericaRegionalLeagueSeason2:UpperDivision,"Apr14-May21,2021","$205,000",8teams,SouthAmerica,NoPing,bc,2,2021
DotaProCircuit2021:S2-NorthAmericaUpperDivision,"Apr13-May20,2021","$205,000",8teams,NorthAmerica,QC,EG,2,2021
AsiaPacificPredatorLeague2020/21-APAC,"Apr06-11,2021","$85,000",10teams,Asia,TNC,Neon,2,2021
EPICLeagueSeason3Division1,"Mar14-21,2021","$85,000",8teams,Europe&CIS,Vikin.gg,TSpirit,2,2021
FMWHDota2ChampionshipSeason3,"Mar01-20,2021","$92,180",10teams,China,EHOME,PSG.LGD,2,2021
DotaProCircuit2021:S1-ChinaUpperDivision,"Jan19-Mar14,2021","$205,000",8teams,"Shanghai,China",iG,Aster,2,2021
ESLOneCISOnlineSeason1:UpperDivision,"Jan21-Feb28,2021","$205,000",8teams,CIS,VP,NAVI,2,2021
DreamLeagueSeason14DPCEUUpperDivision,"Jan19-Feb28,2021","$205,000",8teams,Europe,Secret,[A],2,2021
DotaProCircuit2021:S1-NorthAmericaUpperDivision,"Jan19-Feb28,2021","$205,000",8teams,NorthAmerica,EG,QC,2,2021
DotaProCircuit2021:S1-SoutheastAsiaUpperDivision,"Jan20-Feb27,2021","$205,000",8teams,SoutheastAsia,Fnatic,Neon,2,2021
OGADPCSouthAmericaRegionalLeagueSeason1:UpperDivision,"Jan20-Feb26,2021","$205,000",8teams,SouthAmerica,bc,TP,2,2021
HuyaWinterInvitational2020,"Dec13-27,2020","$91,717",12teams,"Asia&Shanghai,China",RNG,Aster,2,2020
PerfectWorldDota2LeagueSeason3-DivisionA,"Dec09-20,2020","$73,428",5teams,Asia,InkIce,DLG,2,2020
BTSProSeriesSeason4:SoutheastAsia,"Dec08-20,2020","$50,000",8teams,SoutheastAsia,TNC,Dog,2,2020
OGADotaPITSeason4:Europe/CIS,"Dec15-18,2020","$150,000",8teams,Europe&CIS,NAVI,OG,2,2020
EPICLeagueSeason2Division2,"Dec08-13,2020","$48,500",8teams,Europe&CIS,[A],LtW,2,2020
OGADotaPITSeason4:China,"Dec03-12,2020","$90,000",8teams,China,Elephant,PSG.LGD,2,2020
RealmsCollide:TheBurningDarkness,"Nov12-Dec06,2020","$75,000",12teams,Americas,QC,INF,2,2020
PerfectWorldDota2LeagueSeason2-DivisionA,"Nov18-29,2020","$72,981",5teams,Asia,MagMa,FTD,2,2020
ChinaDota2ProCupSeason2,"Nov14-29,2020","$91,227",8teams,"Shanghai,China",Elephant,Aster,2,2020
CDA-FDCProfessionalChampionshipSeason2,"Nov15-25,2020","$91,199",10teams,China,PSG.LGD,EHOME,2,2020
DOTASummit13Online:Europe&CIS,"Nov02-08,2020","$50,000",10teams,Europe&CIS,Vikin.gg,Liquid,2,2020
DOTASummit13Online:Americas,"Oct21-Nov08,2020","$100,000",10teams,Americas,Zero,QC,2,2020
DOTASummit13Online:SoutheastAsia,"Oct21-Nov08,2020","$100,000",10teams,SoutheastAsia,MG.Trust,AUs,2,2020
CDA-FDCProfessionalChampionship,"Oct22-Nov01,2020","$89,656",8teams,China,PSG.LGD,Elephant,2,2020
OGADotaPITSeason3:China,"Sep29-Oct12,2020","$90,000",10teams,China,VG,PSG.LGD,2,2020
ChinaDota2ProCupSeason1,"Sep17-Oct03,2020","$80,000",10teams,"Shanghai,China",PSG.LGD,EHOME,2,2020
BTSProSeriesSeason3:Europe/CIS,"Sep12-30,2020","$50,000",9teams,Europe&CIS,Vikin.gg,mg,2,2020
BTSProSeriesSeason3:SoutheastAsia,"Sep12-27,2020","$50,000",10teams,SoutheastAsia,MG.Trust,BOOM,2,2020
OGADotaPITSeason3:Europe/CIS,"Sep23-26,2020","$170,000",8teams,Europe&CIS,Secret,VP.P,2,2020
BTSProSeriesSeason3:Americas,"Sep07-22,2020","$50,000",10teams,Americas,QC,CR4ZY,2,2020
ESLOneThailand2020:Asia,"Aug20-Sep06,2020","$135,000",12teams,Asia,TNC,BOOM,2,2020
OMEGALeague:AmericasDivineDivision,"Aug17-Sep05,2020","$31,500",10teams,Americas,QC,4Z,2,2020
OMEGALeague:EuropeDivineDivision,"Aug10-Sep05,2020","$50,000",16teams,Europe&CIS,FTM,5men,2,2020
ESLOneThailand2020:Americas,"Aug08-30,2020","$65,000",8teams,Americas,QC,TP,2,2020
OMEGALeague:AsiaDivineDivision,"Aug01-22,2020","$40,000",12teams,Asia,496,XctN,2,2020
